FUNCION,1° Cat.,2° Cat.,3° Cat.,4° Cat.
Encargado Permanente con vivienda,61.200,58.650,56.100,51.000
Encargado Permanente sin vivienda,71.935,68.938,65.941,59.946
Ayudante Permanente con vivienda,61.200,58.650,56.100,51.000
Ayudante Permanente sin vivienda,71.935,68.938,65.941,59.946
Ayudante Media jornada,35.968,34.469,32.970,29.973
Personal Asimilado Con vivienda,61.200,58.650,56.100,51.000
Personal Asimilado Sin vivienda,71.935,68.938,65.941,59.946
Mayordomo Con vivienda,63.472,60.827,58.183,52.893
Mayordomo Sin vivienda,74.874,71.754,68.634,62.395
Intendente,91.645,91.645,91.645,91.645
Personal con mas 1 Funcion con vivienda,61.200,58.650,56.100,51.000
Personal con mas 1 Funcion sin vivienda,71.935,68.938,65.941,59.946
Encargado Guardacoches con vivienda,53.962,53.962,53.962,53.962
Encargado Guardacoches sin vivienda,58.598,58.598,58.598,58.598
Personal Vigilancia Nocturna,64.808,64.808,64.808,64.808
Personal Vigilancia Diurna,60.338,60.338,60.338,60.338
Personal Vigilancia Media Jornada,30.169,30.169,30.169,30.169
Encargado No Permanente Con vivienda,29.035,29.035,29.035,29.035
Encargado No Permanente Sin vivienda,31.557,31.557,31.557,31.557
Ayudante Temporario,59.107,59.107,59.107,59.107
Ayudante Temporario Media Jornada,29.553,29.553,29.553,29.553
